,Symbol,Company Name,Exchange,Price,Shares,Date,Offer Amount,Actions,Description,Country,Group,Industry
121,HHR,HeadHunter Group PLC,NASDAQ Global Select,13.5,"16,304,348",05/09/2019,220108698,Priced,HeadHunter Group PLC operates an online recruitment platform in Russia Kazakhstan Belarus and internationally. It offers employers and recruiters paid access to its curriculum vitae database and job postings platform; and job seekers and employers with a range of human resource and value added services. The company was founded in 2000 and is headquartered in Moscow Cyprus.,Russia,Search,Industrials
122,MEC,"Mayville Engineering Company, Inc.",NYSE,17.0,"6,250,000",05/09/2019,106250000,Priced,Mayville Engineering Company Inc. operates as a contract manufacturer that serves the heavy and medium duty commercial vehicle construction powersports agriculture military and other end markets in the United States. The company provides a range of prototyping and tooling production fabrication coating assembly and aftermarket components. It also supplies engineered components to original equipment manufacturers. The company was founded in 1945 and is headquartered in Mayville Wisconsin.,United States,Misc.,Industrials
123,MIST,Milestone Pharmaceuticals Inc.,NASDAQ Global Select,15.0,"5,500,000",05/09/2019,82500000,Priced,Milestone Pharmaceuticals Inc. a biopharmaceutical company develops and commercializes etripamil for the treatment of cardiovascular indications. It is developing etripamil a novel channel blocker which is in Phase III clinical trial for the treatment of paroxysmal supraventricular tachycardia in the United States and Canada as well as for the treatment of atrial fibrillation angina and other cardiovascular indications. The company was founded in 2003 and is headquartered in Montréal Canada.,Canada,Research,Healthcare
124,NXTC,"NextCure, Inc.",NASDAQ Global Select,15.0,"5,000,000",05/09/2019,75000000,Priced,NextCure Inc. a clinical-stage biopharmaceutical company engages in discovering and developing novel immunomedicines to treat cancer and other immune-related diseases by restoring normal immune function. Its lead product candidate is NC318 which is in Phase 2 clinical trials for the treatment of advanced or metastatic solid tumors. The company is also developing NC410 is a novel immunomedicine designed to block immune suppression mediated by an immune modulator called Leukocyte-Associated Immunoglobulin-like Receptor 1. Its discovery and research programs include an antibody in preclinical evaluation of other potential novel immunomodulatory molecules that targets a novel member of the B7-family of immunomodulatory proteins; and an antibody in preclinical development targeting an immune modulator that is expressed in inflamed tissue and the tumor microenvironment in various tumor types. NextCure Inc. has a license agreement with Yale University; and a research and development collaboration with Eli Lilly and Company. The company was founded in 2015 and is headquartered in Beltsville Maryland.,United States,Research,Healthcare
125,CRTX,"Cortexyme, Inc.",NASDAQ Global Select,17.0,"4,412,000",05/09/2019,75004000,Priced,Cortexyme Inc. a clinical stage biopharmaceutical company focuses on developing therapeutics for Alzheimer's disease and other degenerative disorders. Its lead drug candidate is COR388 an orally-administered brain-penetrating small molecule gingipain inhibitor which is in Phase II/III for use in patients with mild to moderate Alzheimer's disease. The company was incorporated in 2012 and is headquartered in South San Francisco California.,United States,Research,Healthcare
126,FPH,"Five Point Holdings, LLC",NYSE,14.0,"21,000,000",05/10/2017,294000000,Priced,Five Point Holdings LLC through its subsidiary Five Point Operating Company LP plans develops and owns mixed-use communities in California the United States. The company operates through four segments: Newhall San Francisco Great Park and Commercial. It sells residential and commercial land sites to homebuilders commercial developers and commercial buyers; operates properties; and provides development management services. The company was formerly known as Newhall Holding Company LLC and changed its name to Five Point Holdings LLC in May 2016. Five Point Holdings LLC was founded in 2009 and is headquartered in Irvine California.,United States,Misc.,Real Estate
127,EQH,"Equitable Holdings, Inc.",NYSE,20.0,"137,250,000",05/10/2018,2745000000,Priced,Equitable Holdings Inc. operates as a diversified financial services company worldwide. The company operates through four segments: Individual Retirement Group Retirement Investment Management and Research and Protection Solutions. The Individual Retirement segment offers a suite of variable annuity products primarily to affluent and high net worth individuals. The Group Retirement segment provides tax-deferred investment and retirement services or products to plans sponsored by educational entities municipalities and not-for-profit entities as well as small and medium-sized businesses. The Investment Management and Research segment offers diversified investment management research and related solutions to a range of clients through institutional retail and private wealth management channels; and distributes its institutional research products and solutions. The Protection Solutions segment provides a range of universal life indexed universal life and term life products to help affluent and high net worth individuals as well as small and medium-sized business owners; and a suite of life short- and long-term disability dental and vision insurance products to small and medium-size businesses. The company was formerly known as AXA Equitable Holdings Inc. and changed its name to Equitable Holdings Inc. in January 2020. Equitable Holdings Inc. was founded in 1859 and is based in New York New York.,United States,Connectivity,Financial Services
128,JFIN,Jiayin Group Inc.,NASDAQ Global Select,10.5,"3,500,000",05/10/2019,36750000,Priced,Jiayin Group Inc. operates as an online individual finance marketplace that connects individual investors and individual borrowers in China. It operates a secure and open platform that facilitates transparent secure and fast connections between investors and borrowers. The company was founded in 2011 and is headquartered in Shanghai China.,China,Search,Communication Services
129,UBER,"Uber Technologies, Inc",NYSE,45.0,"180,000,000",05/10/2019,8100000000,Priced,Uber Technologies Inc. develops and operates proprietary technology applications primarily in the United States Canada Latin America Europe the Middle East Africa and the Asia Pacific. It connects consumers with independent providers of ride services for ridesharing services as well as connect consumers with restaurants and food delivery service providers for meal preparation and delivery services. The company operates through five segments: Rides Eats Freight Other Bets and Advanced Technologies Group (ATG) and Other Technology Programs. The Rides segment offers products that connect consumers with rides drivers who provide rides in a range of vehicles such as cars auto rickshaws motorbikes minibuses or taxis. It also provides Uber for Business financial partnership services and vehicle solutions offerings. The Eats segments offering enables consumers to search for and discover local restaurants order a meal and either pick-up at the restaurant or have the meal delivered. The Freight segment connects carriers with shippers on the company's platform and enable carriers upfront transparent pricing and the ability to book a shipment. The Other Bets segment provides access to rides through various modes including dockless e-bikes and e-scooters; and other platform related services. The ATG and Other Technology Programs segment engages in the development and commercialization of autonomous vehicle and ridesharing technologies as well as Uber Elevate. The company was formerly known as Ubercab Inc. and changed its name to Uber Technologies Inc. in February 2011. Uber Technologies Inc. was founded in 2009 and is headquartered in San Francisco California.,United States,OS,Technology
130,HUYA,HUYA Inc.,NYSE,12.0,"15,000,000",05/11/2018,180000000,Priced,HUYA Inc. through its subsidiaries operates game live streaming platforms in the People's Republic of China. Its platforms enable broadcasters and viewers to interact during live streaming. Its live streaming content covers a library of games including mobile PC and console games; and other entertainment genres such as talent shows anime outdoor activities live chats online theatre and other genres. The company operates Nimo TV a game live streaming platform primarily in Southeast Asia and Latin America. It also provides online advertising and marketing services. In addition the company provides software development and Internet value added services. As of December 31 2019 its live streaming content covered approximately 3800 games. The company was founded in 2014 and is headquartered in Guangzhou the People's Republic of China. HUYA Inc. is a subsidiary of Tencent Holdings Limited.,China,Media,Communication Services
131,SOI,"Solaris Oilfield Infrastructure, Inc.",NYSE,12.0,"10,100,000",05/12/2017,121200000,Priced,Solaris Oilfield Infrastructure Inc. designs manufactures and rents mobile proppant and chemical management systems to unload store and deliver proppant and chemicals at oil and natural gas well sites in the United States. Its systems are used to transfer large quantities of proppant and chemicals to the well sites. The company also provides trained personnel and last mile proppant logistics services; transloading and forward staging storage services; and real-time inventory management software under the Solaris Lens and Railtronix names. It serves oil and natural gas exploration and production and oilfield service companies. Solaris Oilfield Infrastructure Inc. was founded in 2014 and is headquartered in Houston Texas.,United States,Misc.,Energy
132,IR,Ingersoll Rand Inc.,NYSE,20.0,"41,300,000",05/12/2017,826000000,Priced,Ingersoll Rand Inc. provides mission-critical flow control and compression equipment and associated aftermarket parts consumables and services in the United States Europe the Middle East Africa and the Asia Pacific. It operates through three segments: Industrials Energy and Medical. The Industrials segment designs manufactures markets and services a range of air compression vacuum and blower products as well as offers associated aftermarket parts consumables and services. Its products are used in process-critical applications such as the operation of industrial air tools vacuum packaging of food products aeration of waste water and others. This segment sells its products through an integrated network of direct sales representatives and independent distributors under the Gardner Denver CompAir Elmo Rietschle Robuschi and other brand names. The Energy segment designs manufactures markets and services a range of displacement and liquid ring vacuum pumps compressors and integrated systems and engineered fluid loading and transfer equipment as well as offers associated aftermarket parts consumables and services under the Gardner Denver Nash Emco Wheaton and other brands. This segment serves customers in upstream midstream and downstream energy markets as well as petrochemical processing transportation and general industrial sectors. The Medical segment designs manufactures and markets a range of specialized gas liquid and precision syringe pumps and compressors under the Thomas and other brands for use in oxygen therapy blood dialysis patient monitoring laboratory sterilization and wound treatment and other applications. The company was formerly known as Gardner Denver Holdings Inc. and changed its name to Ingersoll Rand Inc. in March 2020. Ingersoll Rand Inc. was founded in 1859 and is based in Davidson North Carolina.,United States,Misc.,Industrials
133,PSTL,"Postal Realty Trust, Inc.",NYSE,17.0,"4,500,000",05/15/2019,76500000,Priced,Postal Realty Trust Inc. is an internally managed real estate investment trust that owns properties leased to the USPS. The Company believes it is one of the largest owners and managers measured by net leasable square footage of properties that are leased to the USPS.,United States,Misc.,Real Estate
134,GTHX,"G1 Therapeutics, Inc.",NASDAQ Global Select,15.0,"7,000,000",05/17/2017,105000000,Priced,G1 Therapeutics Inc. a clinical-stage biopharmaceutical company engages in the discovery development and commercialization of small molecule therapeutics for the treatment of patients with cancer. It is developing trilaciclib an intravenous cyclin-dependent kinases (CDK) 4/6 inhibitor that is in Phase 1b/2 clinical trials for patients with extensive-stage small cell lung cancer(SCLC) as well as Phase 2 clinical trial for patients with first-line (SCLC) and metastatic triple-negative breast cancer; lerociclib an oral CDK4/6 inhibitor that is in Phase 1b/2a clinical trials for the treatment of breast cancer and in Phase 1b clinical trial for non-small cell lung cancer; and rintodestrant an oral selective estrogen receptor degrader which is in Phase I/2 clinical trial. G1 Therapeutics Inc. has a collaboration with Quantum Leap Healthcare Collaborative to evaluate trilaciclib for neoadjuvant treatment of locally advanced breast cancer. The company was founded in 2008 and is headquartered in Research Triangle Park North Carolina.,United States,Research,Healthcare
135,PS,"Pluralsight, Inc.",NASDAQ Global Select,15.0,"20,700,000",05/17/2018,310500000,Priced,Pluralsight Inc. provides a technology skill development solutions worldwide. Its cloud-based technology skills platform Pluralsight Skills which offers a range of tools including skill and role assessment tool which uses machine learning and advanced algorithms to measure a user's skills benchmark that user against others in the industry and recommend opportunities for growth; and Course Library that include a digital ecosystem of on-demand courses across a range of technology subject areas such as cloud mobile security IT and data. The company's platform also provides Learning Paths that are personalized to take users through a set of courses designed to help them master a particular subject area based on either an assessment or a user's goals; and business analytics tools which enable business customers to index the technology skills of their teams align learning to key business objectives determine the usage of platform examine trends in skill development and quantify the impact of platform on their business. In addition it offers Pluralsight Flow which processes analyses and visualizes software developer coding activities into actionable metrics. It serves businesses and individuals. Pluralsight Inc. was founded in 2004 and is headquartered in Farmington Utah.,United States,OS,Technology
136,FSLY,"Fastly, Inc.",NYSE,16.0,"11,250,000",05/17/2019,180000000,Priced,Fastly Inc. operates an edge cloud platform for processing serving and securing its customer's applications. The edge cloud is a category of Infrastructure as a Service that enables developers to build secure and deliver digital experiences at the edge of the Internet. It is a programmable platform designed for Web and application delivery. As of December 31 2019 the company's edge network spans 68 points-of-presence worldwide. It serves customers operating in digital publishing media and entertainment technology online retail travel and hospitality and financial technology services industries. The company was formerly known as SkyCache Inc. and changed its name to Fastly Inc. in May 2012. Fastly Inc. was founded in 2011 and is headquartered in San Francisco California.,United States,OS,Technology
137,LK,Luckin Coffee Inc.,NASDAQ Global Select,17.0,"33,000,000",05/17/2019,561000000,Priced,Luckin Coffee Inc. engages in the retail sale of freshly brewed drinks and pre-made food and beverage items in the People's Republic of China. It offers freshly brewed drinks including freshly brewed coffee and non-coffee drinks; and food and beverage items such as light meals. The company operates pick-up stores relax stores and delivery kitchens under the Luckin brand as well as Luckin mobile app Weixin mini-program and other third-party platforms that cover the customer purchase process. As of March 31 2019 it operated 2370 stores including 2163 pick-up stores 109 relax stores and 98 delivery kitchens in 28 cities in the People's Republic of China. The company was founded in 2017 and is based in Xiamen the People's Republic of China.,China,Search,Consumer Cyclical
138,AVTR,"Avantor, Inc.",NYSE,14.0,"207,000,000",05/17/2019,2898000000,Priced,Avantor Inc. provides products and services to customers in the biopharma healthcare education and government advanced technologies and applied materials industries worldwide. The company offers materials and consumables such as purity chemicals and reagents lab products and supplies formulated silicone materials customized excipients customized single-use assemblies process chromatography resins and columns analytical sample prep kits education and microbiology products and clinical trial kits. It also provides equipment and instrumentation products including filtration systems virus inactivation systems incubators analytical instruments evaporators ultra-low-temperature freezers biological safety cabinets and critical environment supplies. In addition the company offers services and specialty procurements comprising onsite lab and production clinical equipment procurement and sourcing and biopharmaceutical material scale-up and development services. Avantor Inc. was founded in 1904 and is headquartered in Radnor Pennsylvania.,United States,Misc.,Basic Materials
139,ARGX,ARGENX SE,NASDAQ Global Select,17.0,"5,865,000",05/18/2017,99705000,Priced,argenx SE a clinical-stage biotechnology company focuses on developing antibody-based therapies for the treatment of autoimmune diseases hematology and cancer. It is developing its lead product candidate efgartigimod for the treatment of patients with myasthenia gravis in Phase 3; immune thrombocytopenia in Phase 3; pemphigus vulgaris in Phase 2; chronic inflammatory demyelinating polyneuropathy in Phase 2; and ENHANZE SC in pre-clinical stages. The company is also developing cusatuzumab in Phase 2 clinical stage in hematological cancer indications; and preclinical products including ARGX-117 with therapeutic potential in both orphan and large autoimmune inflammatory diseases in and ARGX-118 for airway inflammation. Its partnered product candidates include ARGX-112 for treating skin inflammation and ARGX-115 for cancer immunotherapy which are in Phase 1 clinical stages; and ARGX-116 for the treatment of dyslipidemia and ARGX-114 for treating fibrosis which are in preclinical stage. The company has strategic partnership with AbbVie S.À.R.L. and LEO Pharma A/S; and collaboration agreement with Cilag GmbH International Staten Biotechnology B.V. and Shire International GmbH. argenx SE was founded in 2008 and is based in Breda the Netherlands.,Netherlands,Research,Healthcare
140,BEDU,Bright Scholar Education Holdings Ltd,NYSE,10.5,"15,000,000",05/18/2017,157500000,Priced,Bright Scholar Education Holdings Limited an education service company operates K-12 schools in China. Its schools comprise international and bilingual schools and kindergartens. The company also offers a range of complementary education services including international camps and after-school programs as well as international education consulting services; and Chinese government-mandated curriculum services for students. As of November 30 2019 it operated 80 schools across 10 provinces in China as well as 8 schools internationally with a total student capacity of 67194 students. Bright Scholar Education Holdings Limited was founded in 1994 and is based in Foshan China.,China,Productivity,Consumer Defensive
141,EVOP,"EVO Payments, Inc.",NASDAQ Global Select,16.0,"14,000,000",05/23/2018,224000000,Priced,EVO Payments Inc. operates as an integrated merchant acquirer and payment processor in the Americas and Europe. Its payment and commerce solutions consist of gateway solutions online fraud prevention and management reporting online hosted payments page capabilities cellphone-based SMS integrated payment collection services security tokenization and encryption solutions at the point-of-sale dynamic currency conversion loyalty offers and other ancillary solutions. The company also offers processing capabilities for specific industries and provides merchants with recurring billing multi-currency authorization and settlement and cross-border processing. In addition it provides other services that enable through technical integrations with third-party providers. It offers its services to approximately 550000 merchants. As of December 31 2019 the company processed approximately 1.0 billion transactions in the Americas which includes the United States Canada and Mexico; and 2.5 billion transactions in Europe consisting of the Czech Republic Germany Ireland Poland Spain and the United Kingdom as well as supporting merchants in France Austria Italy the Nordics and other Central and Eastern European countries. The company was founded in 1989 and is headquartered in Atlanta Georgia.,United States,OS,Technology
142,IDYA,"Ideaya Biosciences, Inc.",NASDAQ Global Select,10.0,"5,000,000",05/23/2019,50000000,Priced,IDEAYA Biosciences Inc. an oncology-focused precision medicine company focuses on the discovery and development of targeted therapeutics for patient populations selected using molecular diagnostics. The company's product candidate is IDE196 a protein kinase C inhibitor that is in Phase 1/2 clinical trial for genetically-defined cancers having GNAQ or GNA11 gene mutations. Its preclinical pipeline includes various synthetic lethality programs targeting MAT2A for solid tumors with MTAP deletions; Pol-theta in tumors with homologous recombination deficiency including BRCA mutations; PARG in tumors with BRCA2 mutations in base excision repair; and WRN in high microsatellite instability tumors. The company has a research collaboration agreement with Cancer Research UK and the University of Manchester to develop small molecule inhibitors of Poly (ADP-ribose) glycohydrolase; and a clinical trial collaboration and supply agreement with Pfizer Inc. for Phase 1/2 study in metastatic uveal melanoma and other solid tumors. IDEAYA Biosciences Inc. was founded in 2015 and is headquartered in South San Francisco California.,United States,Research,Healthcare
143,RTLR,RATTLER MIDSTREAM LP,NASDAQ Global Select,17.5,"38,000,000",05/23/2019,665000000,Priced,Rattler Midstream LP owns operates develops and acquires midstream infrastructure assets in the Midland and Delaware Basins of the Permian Basin in West Texas. The company operates in two segments Midstream Services and Real Estate Operations. It provides crude oil natural gas and water-related midstream services. As of December 31 2019 the company owned and operated 867 miles of crude oil gathering pipelines natural gas gathering pipelines and an integrated water system on acreage that overlays Diamondback's seven core Midland and Delaware Basin development areas. It also rents real estate properties. Rattler Midstream GP LLC serves as the general partner of the company. The company was formerly known as Rattler Midstream Partners LP. The company is based in Midland Texas. Rattler Midstream LP is a subsidiary of Diamondback Energy Inc.,United States,Misc.,Energy
144,BCYC,BICYCLE THERAPEUTICS plc,NASDAQ Global Select,14.0,"4,333,333",05/23/2019,60666662,Priced,Bicycle Therapeutics plc a clinical-stage biopharmaceutical company develops a class of medicines for diseases that are underserved by existing therapeutics. Its lead product candidate is BT1718 a bicycle toxin conjugate (BTC) which is in Phase I/IIa clinical trials targeting tumors that express Membrane Type 1 matrix metalloprotease. The company's oncology product candidates also comprise BT5528 a BTC that is in a Phase I/IIa clinical trial targeting EphA2; BT8009 which is in preclinical studies targeting Nectin-4; and CD137 an immune cell co-stimulatory molecule that is in preclinical stage. In addition it is developing THR-149 a plasma kallikrein inhibitor that completed Phase I clinical trials for the treatment of diabetic macular edema. Further the company collaborates with biopharmaceutical companies and organizations to develop programs in therapeutic areas such as anti-infective cardiovascular ophthalmology and respiratory indications. Bicycle Therapeutics plc has a clinical trial and license agreement with the Cancer Research Technology Limited and CRUK; research collaboration agreements with AstraZeneca Sanofi Oxurion and the Dementia Discovery Fund; and discovery collaboration and license agreement with Genentech for the discovery and development of Bicycle peptides for multiple immuno-oncology targets. The company was incorporated in 2009 and is headquartered in Cambridge the United Kingdom.,United Kingdom,Research,Healthcare
145,SGH,"SMART Global Holdings, Inc.",NASDAQ Global Select,11.0,"5,300,000",05/24/2017,58300000,Priced,SMART Global Holdings Inc. designs and manufactures electronic products focused in memory and computing technology areas. It offers dynamic random access memory (DRAM) modules for desktops notebooks and servers; and embedded and removable flash memory products; and flash component products such as embedded multimedia controllers and embedded and removal products in USB CompactFlash and SD/microSD card configurations. The company also provides supply chain services including procurement logistics inventory management temporary warehousing programming kitting and packaging. In addition it offers specialty compute and storage system solutions to customers various verticals including financial services energy government social media and education end markets; and offers hardware and software products including solutions based on the Open Compute Project. Further it provides servers software integrated turn-key clusters enterprise-grade storage and bare metal HPC in hardware or cloud-based solutions through Penguin Computing On-Demand; Open Compute Tundra Extreme Scale products; turn-key storage solutions based upon its Frostbyte storage platform; and rackmount servers and GPU accelerated computing platforms. The company sells its products directly to original equipment manufacturers enterprise government and other end customers through direct sales force customer service representatives on-site field application engineers independent sales representatives distributors integrators and resellers. The company was formerly known as Saleen Holdings Inc. and changed its name to SMART Global Holdings Inc. in August 2014. SMART Global Holdings Inc. was founded in 1988 and is headquartered in Newark California.,United States,Devices,Technology
146,KNSA,"Kiniksa Pharmaceuticals, Ltd.",NASDAQ Global Select,18.0,"8,477,777",05/24/2018,152599986,Priced,Kiniksa Pharmaceuticals Ltd. a clinical-stage biopharmaceutical company focuses on discovering acquiring developing and commercializing therapeutic medicines for patients suffering from debilitating diseases with significant unmet medical need worldwide. Its clinical-stage product candidates include Rilonacept which is in Phase III clinical trials for the treatment of recurrent pericarditis an inflammatory cardiovascular disease; Mavrilimumab a monoclonal antibody that is in Phase II clinical trials for the treatment of giant cell arteritis; and KPL-716 a monoclonal antibody which is in Phase 2a clinical trial for the treatment of prurigo nodularis a chronic inflammatory skin condition; and in Phase 1a clinical trial for the treatment of atopic dermatitis. The company's preclinical product candidates comprise KPL-404 a monoclonal antibody inhibitor of the CD40/CD40L interaction a central control node of T-cell-dependent and B-cell-mediated humoral adaptive immunity. The company has a clinical collaboration with Kite Pharma Inc. to evaluate investigational combination of Yescarta and Mavrilimumab in patients with relapsed or refractory Large B-Cell lymphoma. Kiniksa Pharmaceuticals Ltd. was founded in 2015 and is based in Hamilton Bermuda.,Bermuda,Research,Healthcare
147,SRRK,Scholar Rock Holding Corp,NASDAQ Global Select,14.0,"5,360,000",05/24/2018,75040000,Priced,Scholar Rock Holding Corporation a clinical-stage biopharmaceutical company focuses on the discovery and development of medicines for the treatment of serious diseases in which signaling by protein growth factors plays a fundamental role. Its lead antibody product candidate is SRK-015 a novel inhibitor of the activation of myostatin which is in Phase II clinical trials for the treatment of spinal muscular atrophy. The company is also developing SRK-181 which is in Phase I clinical trials for the treatment of cancers that are resistant to checkpoint inhibitor therapies such as anti-PD-1 or anti-PD-L1. In addition it is developing a pipeline of novel product candidates for a range of serious diseases including neuromuscular disorders cancer fibrosis and anemia. The company has a collaboration agreement with Gilead Sciences Inc. to discover and develop specific inhibitors of transforming growth factor beta activation for the treatment of fibrotic diseases. Scholar Rock Holding Corporation was founded in 2012 and is headquartered in Cambridge Massachusetts.,United States,Research,Healthcare
148,GSKY,"GreenSky, Inc.",NASDAQ Global Select,23.0,"38,000,000",05/24/2018,874000000,Priced,GreenSky Inc. a technology company provides point-of-sale financing and payment solutions to merchants consumers and banks. It offers a proprietary technology infrastructure that support the full transaction lifecycle including credit application underwriting real-time allocation to bank partners document distribution funding settlement and servicing functions. The company was founded in 2006 and is headquartered in Atlanta Georgia.,United States,OS,Technology
149,WOW,"WideOpenWest, Inc.",NYSE,17.0,"18,235,295",05/25/2017,310000015,Priced,WideOpenWest Inc. provides high speed data cable television and digital telephony services to residential and business services customers in the United States. Its video services include basic cable services that comprise local broadcast television and local community programming; digital cable services; and ultra-video products as well as offers commercial-free movies sports and other special event entertainment programs. The company's telephony services consist of local and long-distance telephone services; business telephony and data services include fiber based office-to-office metro Ethernet session initiated protocol trunking colocation infrastructure cloud computing managed backup and recovery services. It serves approximately 3.2 million home and business customers in the states of Alabama Florida Georgia Illinois Indiana Maryland Michigan Ohio South Carolina and Tennessee. The company was formerly known as WideOpenWest Kite Inc. and changed its name to WideOpenWest Inc. in March 2017. The company was founded in 2001 and is based in Englewood Colorado.,United States,Media,Communication Services
150,TDACU,Trident Acquisitions Corp.,NASDAQ Global Select,10.0,"17,500,000",05/30/2018,175000000,Priced,Trident Acquisitions Corp. does not have significant operations. It intends to enter into a merger share exchange asset acquisition stock purchase recapitalization reorganization or other similar business combination with one or more target businesses primarily in the oil and gas or other natural resource sector. The company was founded in 2016 and is headquartered in New York New York.,United States,Misc.,Financial Services
151,GIX,"GigCapital2, Inc.",NYSE,10.0,"15,000,000",06/06/2019,150000000,Priced,GigCapital2 Inc. does not have significant operations. The company focuses on effecting a merger capital stock exchange asset acquisition stock purchase reorganization or similar business combination with one or more businesses. It intends to focus on companies operating in the technology media and telecommunications industries. The company was founded in 2019 and is headquartered in Palo Alto California.,United States,Misc.,Financial Services
152,GSX,GSX Techedu Inc.,NYSE,10.5,"19,800,000",06/06/2019,207900000,Priced,GSX Techedu Inc. a technology-driven education company provides online K-12 after-school tutoring services in the People's Republic of China. Its K-12 after-school tutoring courses cover various K-12 academic subjects including mathematics English Chinese physics chemistry biology history geography and political science. The company also provides English courses for children in kindergarten; and courses that help children in grade one through grade seven. In addition it offers foreign language courses comprising English Japanese and Korean as well as English test preparation courses for students taking post-graduate entrance exams; and professional courses primarily for working adults preparing for professional qualification exams such as teacher's qualification the Chartered Financial Analyst designation securities qualification exams and other exams. Further the company provides personal interest courses such as yoga fashion guitar and Chinese calligraphy. Additionally it offers other courses including offline business consulting courses to enhance management skills for principals and other officers of private education institutions; and operate Weishi an interactive learning platform on Wechat. The company was formerly known as BaiJiaHuLian Group Holdings Limited and changed its name to GSX Techedu Inc. in January 2019. GSX Techedu Inc. was founded in 2014 and is headquartered in Beijing the People's Republic of China.,China,Productivity,Consumer Defensive
153,RVLV,"Revolve Group, Inc.",NYSE,18.0,"11,764,706",06/07/2019,211764708,Priced,Revolve Group Inc. operates as an online fashion retailer for consumers in the United States and internationally. The company operates through two segments REVOLVE and FORWARD. It operates a platform that connects consumers and global fashion influencers as well as emerging established and owned brands. The company provides women's apparel footwear accessories and beauty styles under established and emerging brands as well as owned brands. It also offers various luxury brands. The company was formerly known as Advance Holdings LLC and changed its name to Revolve Group Inc. in October 2018. Revolve Group Inc. was founded in 2003 and is headquartered in Cerritos California.,United States,Search,Consumer Cyclical
154,MGTX,MeiraGTx Holdings plc,NASDAQ Global Select,15.0,"5,000,000",06/08/2018,75000000,Priced,MeiraGTx Holdings plc a clinical-stage gene therapy company focusing on developing treatments for patients living with serious diseases. The company develops various therapies for ocular diseases including rare inherited blindness as well as Xerostomia following radiation treatment for head and neck cancers; neurodegenerative diseases such as amyothrophic lateral sclerosis; and Parkinson's diseases. Its programs in clinical development include Phase 1/2 clinical stage programs in Achromatopsia X-Linked Retinitis Pigmentosa RPE65-deficiency and radiation-induced Xerostomia as well as Parkinson's program. The company also focuses on initiating a clinical program in xerostomia related to Sjogren's syndrome and have preclinical programs in neurodegenerative diseases. It has a research collaboration agreement with Janssen Pharmaceuticals Inc. to develop regulatable gene therapy treatment using the company's proprietary riboswitch technology. The company was founded in 2015 and is based in New York New York.,United States,Research,Healthcare
155,VRT,Vertiv Holdings Co,NYSE,10.0,"60,000,000",06/08/2018,600000000,Priced,Vertiv Holdings Co. designs manufactures and services digital infrastructure technology for electronics that process store and transmit data. The company operates in three segments: Americas Asia Pacific and EMEA. It offers power management products thermal management products integrated rack systems modular solutions and management systems for monitoring and controlling digital infrastructure. These offerings are integral to the technologies used for various services including e-commerce online banking file sharing video on-demand energy storage wireless communications Internet of Things and online gaming. The company through its global services network also provides lifecycle management services predictive analytics and professional services for deploying maintaining and optimizing these products and their related systems. It serves customers in various end markets including data centers communication networks and commercial and industrial environments worldwide. Vertiv Holdings Co. is headquartered in Columbus Ohio.,United States,OS,Industrials
156,FPAC,Far Point Acquisition Corp,NYSE,10.0,"55,000,000",06/12/2018,550000000,Priced,Far Point Acquisition Corporation does not have significant operations. It focuses on merger asset acquisition share purchase reorganization or similar business combination with one or more businesses in the financial technology technology or financial services industries. The company was founded in 2018 and is based in New York New York.,United States,Misc.,Financial Services
157,CRWD,"CrowdStrike Holdings, Inc.",NASDAQ Global Select,34.0,"18,000,000",06/12/2019,612000000,Priced,CrowdStrike Holdings Inc. provides cloud-delivered solutions for next-generation endpoint protection in the United States Australia Germany India Romania and the United Kingdom. It offers 11 cloud modules on its Falcon platform through a software as a service subscription-based model that covers various security markets such as endpoint security security and IT operations and threat intelligence to deliver comprehensive breach protection even against today's most sophisticated attacks. The company primarily sells its platform and cloud modules through its direct sales team. CrowdStrike Holdings Inc. was founded in 2011 and is headquartered in Sunnyvale California.,United States,OS,Technology
158,FVRR,Fiverr International Ltd.,NYSE,21.0,"5,263,158",06/13/2019,110526318,Priced,Fiverr International Ltd. operates an online marketplace worldwide. Its platform enables sellers to sell their services and buyers to buy them. The company's platform includes approximately 300 categories in eight verticals including graphic and design digital marketing writing and translation video and animation music and audio programming and technology business and lifestyle. It also offer And.Co a platform for online back office service to assist freelancers with invoicing contracts and task management; Fiverr Learn an online learning platform with original course content in categories such as graphic design branding digital marketing and copywriting; and ClearVoice a subscription based content marketing platform for medium to large businesses. Its buyers include businesses of various sizes as well as sellers comprise a group of freelancers and small businesses. The company was founded in 2010 and is headquartered in Tel Aviv Israel.,Israel,Search,Communication Services
