Country,Actual Country
100 Valvoline WayLexington KY 40509United States859 357 7777http://www.valvoline.com,United States
High Technology BuildingSouth Wing No. 229 North 4th Ring Road Haidian DistrictBeijing 100083China86 10 8261 9988http://www.gridsum.com,China
Tower C Xingang East RoadRoom 1302 Wansheng Square Haizhu DistrictGuangzhou 510220China86 20 8930 9496http://www.viomi.com.cn,China
Rua Augusta 2840Suite 91 9th Floor ConsolaCAoSao Paulo SP 01412-100Brazil55 11 3047 2699http://www.arcoeducacao.com.br,Brazil
One Curiosity WaySan Mateo CA 94403United States650 543 8400http://www.surveymonkey.com,United States
125 West 25th Street11th FloorNew York NY 10001United States866-679-9129http://www.onepeloton.com,United States
No. 29 Building4th Floor Fangguyuan Section 1 Fangzhuang Fengtai DistrictBeijing 100078China86 10 8767 5611http://www.rybbaby.com,China
Building B3rd Floor No. 1687 Changyang Yangpu DistrictShanghai 200090China86 21 3511 7188http://ir.laix.com/investors/our-company/default.aspx,China
2070 Las Palmas DriveCarlsbad CA 92011United States760 804 1648http://www.ramed.com,United States
5 Science Park395 Winchester AvenueNew Haven CT 06511United States203 535 1456http://www.arvinas.com,United States
11-12 Street James's SquareSuite 1 3rd FloorLondon SW1Y 4LBUnited Kingdom44 20 7400 3347http://www.urovant.com,United Kingdom
150 Winchester CircleLos Gatos CA 95032United States408-556-9040http://www.roku.com,United States
200 Smith StreetWaltham MA 02451United States781 209 6400http://www.deciphera.com,United States
3 Lochside WayEdinburgh EH12 9DTUnited Kingdom44 13 1357 1111http://www.nucana.com,United Kingdom
No.16 Xinlong Road9-11 Floors Minhang DistrictShanghai 201101China86 21 6485 6352http://www.cootek.com,China
5959 Horton StreetSuite 300Emeryville CA 94608United States510-871-6100http://gritstoneoncology.com,United States
300 Lindenwood DriveValleybrooke Corporate CenterMalvern PA 19355-1740United States610 651 4400http://www.pqcorp.com,United States
1740 Technology DriveSuite 150San Jose CA 95110United States408-216-8360http://www.nutanix.com,United States
2625 Augustine DriveSuite 601Santa Clara CA 95054United States650 316 7500http://www.upwork.com,United States
535 Boylston StreetBoston MA 02116United States617-463-9385http://www.aprea.com,United States
19 Presidential Way2nd FloorWoburn MA 01801United States866 389 1970http://www.frequencytx.com,United States
5114 Buford HighwayDoraville GA 30340United States770-455-4989http://www.metrocitybank.bank,United States
One MedImmune WayFirst Floor Area TwoGaithersburg MD 20878United States240 558 0038http://www.vielabio.com,United States
505 Penobscot DriveRedwood City CA 94063United States855 698 8887http://guardanthealth.com,United States
200 Park Avenue58th FloorNew York NY 10166United States212 355 5515http://www.colliercreekholdings.com,United States
800 West El Camino RealSuite 350Mountain View CA 94040United States650 458 2620http://www.elastic.co,United States
90 Fort Wade RoadSuite 200Ponte Vedra FL 32081United States904 737 7900http://www.advanceddisposal.com,United States
1855 South Grant StreetSan Mateo CA 94402United States650-931-3200http://www.coupa.com,United States
7135 South Decatur BoulevardLas Vegas NV 89118United States702-444-4111http://www.switch.com,United States
250 Parkway DriveSuite 270Lincolnshire IL 60069United States847 808 3000http://www.campingworld.com,United States
An der Goldgrube 12Mainz 55131Germany49 6131 9084 0http://www.biontech.de,Germany
210 East Grand AvenueSouth San Francisco CA 94080United States650 457 2700http://www.allogene.com,United States
2929 Walnut StreetPhiladelphia PA 19104United States215-299-6000http://www.livent.com,United States
499 Illinois StreetSuite 500San Francisco CA 94158United States415-906-4324http://www.vir.bio,United States
401 North Hershey RoadBloomington IL 61704United States888-897-2276http://ir.hbtfinancial.com,United States
370 17th StreetSuite 5300Denver CO 80202United States720 557 8300http://www.extractionog.com,United States
WorldMark 33rd Floor Asset 301-304 and 307 AerocityNew Delhi 110037India91 11 4940 9800http://www.azurepower.com,India
2 Canal Park4th FloorCambridge MA 02141United States617 354 0068http://www.cargurus.com,United States
50 Hawthorne StreetSan Francisco CA 94105United States415 742 8199http://www.anaplan.com,United States
1020 Stony Hill RoadSuite 300Yardley PA 19067United States267 364 3500http://www.optinose.com,United States
14201 Caliber DriveSuite 300Oklahoma City OK 73134United States405 608 6007http://www.mammothenergy.com,United States
2503 South Hanley RoadSaint Louis MO 63144United States314 644 7600http://www.bellring.com,United States
117 Avenue de LuminyBP 30191Marseille 13009France33 4 30 30 30 30http://www.innate-pharma.com,France
Tower AAVIC Zijin Plaza Siming DistrictXiamen 361000China86 59 2591 1580http://www.qudian.com,China
The Centrium36th Floor 60 Wyndham StreetCentralHong Kong852 2598 3600http://www.studiocity-macau.com,Hong Kong
400 Crossing BoulevardBridgewater NJ 08807United States908 809 1300http://www.osmotica.com,United States
1049 Park Avenue 14ANew York NY 10028United States347 517 1041http://www.galileospac.com,United States
1 Fusionopolis PlaceNo. 17-10 GalaxisSingapore 138522Singapore65 6270 8100http://www.seagroup.com,Singapore
Building 4007171 Southwest ParkwayAustin TX 78735United States512 682 9300http://www.solarwinds.com,United States
511 East John Carpenter Freeway6th FloorIrving TX 75062United States469 458 7973http://www.forterrabp.com,United States
4931 North 300 WestProvo UT 84604United States801 377 9111http://www.vivint.com,United States
4010 West Boy Scout BoulevardSuite 200Tampa FL 33607United States866 279 0698http://www.baldwinriskpartners.com,United States
R. Fidencio Ramos 30810th floor Vila OlimpiaSao Paulo SP 04551-010Brazil55 11 3004 9680http://www.stone.co,Brazil
7601 Southwest ParkwayAustin TX 78735United States512-394-9384http://www.YETI.com,United States
1359 BroadwayNew York NY 10018United States212 888 3124http://www.progyny.com,United States
100 Campus DriveSuite 102Florham Park NJ 07932United States877 742 8466http://www.phathompharma.com,United States
2929 Arch StreetSuite 600Philadelphia PA 19104United States267 759 3100http://www.cabalettabio.com,United States
No. 399 Wangshang RoadBinjiang DistrictHangzhou 310051China86 57 1898 52163http://www.youdao.com,China
Building 22002435 Commerce AvenueDuluth GA 30096United States770-822-3600http://www.nationalvision.com,United States
501 Westlake Park BoulevardHouston TX 77079United States281-366-2000http://www.bp.com/en/global/bp-midstream-partners.html,United States
Building OneNo. 1685 Huazhi Road Qingpu DistrictShanghai 201708China86 21 5980 4508http://www.zto.com,China
11-12 St. James's SquareSuite 1 3rd FloorLondon SW1Y 4LBUnited Kingdom44 1295 5950http://myovant.com,United Kingdom
37A Avenue J.F. KennedyLuxembourg City 1855Luxembourg352 28 26 3727http://www.nexaresources.com,Luxembourg
21300 Victory Boulevard12th FloorWoodland Hills CA 91367United States818 223 9008http://www.blackline.com,United States
333 Bridge StreetFairhaven MA 02719United States800 225 8500http://www.acushnetholdingscorp.com,United States
26 Technology DriveIrvine CA 92618United States949 396 6322http://www.axonics.com,United States
108 Cannon StreetLondon EC4N 6EUUnited Kingdom44 20 3384 6700http://www.orchard-tx.com,United Kingdom
681 Gateway BoulevardSouth San Francisco CA 94080United States800-719-0671http://www.twistbioscience.com,United States
202 Carnegie CenterSuite 109Princeton NJ 08540United States609 382 9032http://www.oysterpointrx.com,United States
1820 East Big Beaver RoadTroy MI 48083United States248 614 2400http://www.altair.com,United States
No.  355 Boulevard Cecilia Grierson4th FloorBuenos Aires 1107Argentina54 11 4319 3048http://www.lomanegra.com,Argentina
675 Massachusetts Avenue14th FloorCambridge MA 02139United States857 242 1600http://sperotherapeutics.com,United States
One Newton Executive ParkSuite 202Newton MA 02462United States617-467-4577http://www.allenapharma.com,United States
210 Sixth AvenuePittsburgh PA 15222United States724-772-0044http://www.evoqua.com,United States
2802 Wetmore AvenueEverett WA 98201United States425 783 3616http://www.funko.com,United States
1725 Hughes Landing BoulevardSuite 800The Woodlands TX 77380United States281 231 2660http://www.smartsand.com,United States
Tower G44th Floor No.16 Zhujiang Dong Road Tianhe DistrictGuangzhou 510620China86 201 6231 6688http://www.cashchina.cn,China
4250 Executive SquareSuite 300La Jolla CA 92037United States858-362-6300http://www.silvergatebank.com,United States
99 Park AvenueNew York NY 10016United States212-659-0600http://www.metropolitanbankny.com,United States
Building C Jin'an 6105th Floor No. 610 Hengfeng Road Jingan DistrictShanghai 200070China86 21 6317 8899http://www.sijiedu.com,China
Winzerlaer Str. 2Jena 07745Germany49 3641 508 180http://www.inflarx.de,Germany
9 Greenway PlazaSuite 110Houston TX 77046United States713-210-7600http://www.communitybankoftx.com,United States
14 Fairmount AvenueChatham NJ 07928United States973 507 0359http://www.juniperindustrial.com,United States
6400 Westwind WaySuite ACrestwood KY 40014United States502-241-4114http://www.apellis.com,United States
Sohu.com Internet PlazaLevel 15 No. 1 Unit Zhongguancun East Road Haidian DistrictBeijing 100084China86 10 5689 9999http://www.sogou.com,China
900 Main Campus DriveSuite 500Raleigh NC 27606United States800 808 5150http://www.bandwidth.com,United States
60 Avenue RockefellerLyon 69008France33 4 78 74 44 38http://www.erytech.com,France
21925 West Field ParkwaySuite 235Deer Park IL 60010-7208United States847 787 7361http://www.etonpharma.com,United States
100 Domain DriveExeter NH 03833United States603 658 0011http://www.vapotherm.com,United States
West Building50th Floor No. 33 Jiefang East Road Fortune Finance Center Jianggan DistrictHangzhouChina86 571 5697 9013http://www.weidai.com.cn,China
Internet Finance Center21st Floor Danling StreetBeijingChina86 10 8302 3688http://www.jianpu.ai,China
4960 Conference Way NorthSuite 100Boca Raton FL 33431United States561 912 8000http://www.bluegreenvacations.com,United States
11120 Four Points DriveSuite 100Austin TX 78726United States512 346 2000http://www.sailpoint.com,United States
2400 District AvenueSuite 310Burlington MA 01803United States617-517-0730http://www.scpharmaceuticals.com,United States
1308 Race StreetSuite 200Cincinnati OH 45202United States513 618 7161http://www.legacyacquisition.com,United States
1 Montgomery StreetSuite 1500San Francisco CA 94104United States415-882-7765http://www.stitchfix.com,United States
1140 North Williamson BoulevardSuite 140Daytona Beach FL 32114United States386-274-2202http://www.alpinereit.com,United States
11440 West Bernardo CourtSuite 220San Diego CA 92127United States858-997-3332http://www.innovativeindustrialproperties.com,United States
Building No. 112th Floor Zheshang Wealth Center No. 99 Gudun Road Xihu DistrictHangzhou 310012China86 571 8605 2790http://www.mogu-inc.com,China
3527 North Ridge RoadWichita KS 67205United States316-722-3801http://www.curo.com,United States
4747 Executive DriveSuite 510San Diego CA 92121United States858 731 8180http://www.odonate.com,United States
200 Technology SquareCambridge MA 02139United States617 714 6500http://www.modernatx.com,United States
Via Marco D'Aviano 2Milan MI 20131Italy39 022 885841http://www.kaleyra.com,Italy
161 Oyster Point Boulevard2nd FloorSouth San Francisco CA 94080United States650 866 8548http://www.denalitherapeutics.com,United States
520 Third StreetFourth FloorSanta Rosa CA 95401United States844-446-8201http://www.lutherburbanksavings.com,United States
3185 Laurelview CourtFremont CA 94538United States510 897 5200http://www.ichorsystems.com,United States
96 Pitts Bay RoadPembroke HM 08Bermuda441-279-8400http://www.athene.com,Bermuda
Av. Chedid Jafet 7530th Floor Torre Sul Vila OlimpiaSao Paulo SP 04551-065Brazil55 11 3075 0429http://www.xpinc.com,Brazil
Matsunichi Building17th Floor Midwest Dist. of Hi-tech Park Kejizhongyi RdNanshan DistrictShenzhen 518057China86 755 8601 3388http://www.tencentmusic.com,China
1810 Embarcadero RoadPalo Alto CA 94303United States650-621-7700http://www.bill.com,United States
Ping An Financial Center55th Floor No. 5033 Yitian Road Futian DistrictShenzhenChina86 85 2376 29357http://www.oneconnectft.com,China
1600 Airport FreewaySuite 100Bedford TX 76022United States817-799-4900http://www.legacyhousingcorp.com,United States
100 Old River RoadAndover MA 01810United States978-688-6706http://www.casa-systems.com,United States
125 Park AvenueNew York NY 10017United States212 372 2000http://www.ngkf.com,United States
Kesselstrasse 5 - 7Dusseldorf 40221Germany49 211 3876840000http://www.trivago.de,Germany
220 Alhambra CircleCoral Gables FL 33134United States305-460-8728http://www.amerantbank.com,United States
Building 125th Floor 1001 North Qinzhou Road Xuhui DistrictShanghai 201109China86 21 5436 5166http://www.molbase.cn,China
