Symbol,Company Name,Exchange,Price,Shares,Date,Offer Amount,Actions
NCSM,"NCS Multistage Holdings, Inc.",NASDAQ Global Select,17.00,"9,500,000",04/28/2017,161500000,Priced
XRF,China Rapid Finance Ltd,NYSE,6.00,"10,000,000",04/28/2017,60000000,Priced
ZYME,Zymeworks Inc.,NYSE,13.00,"4,500,000",04/28/2017,58500000,Priced
AAPC,Atlantic Alliance Partnership Corp.,Nasdaq SmallCap Market,10.00,"7,500,000",04/29/2015,75000000,Priced
VKTX,"Viking Therapeutics, Inc.",Nasdaq SmallCap Market,8.00,"3,000,000",04/29/2015,24000000,Priced
EVA,"Enviva Partners, LP",New York Stock Exchange,20.00,"10,000,000",04/29/2015,200000000,Priced
BPMC,Blueprint Medicines Corp,Nasdaq National Market,18.00,"8,145,834",04/30/2015,146625012,Priced
WAFU,Wah Fu Education Group Ltd,NASDAQ Capital,5.00,"1,181,033",04/30/2019,5905165,Priced
ARWAU,Arowana Inc.,Nasdaq SmallCap Market,10.00,"7,200,000",05/01/2015,72000000,Priced
BSM,"Black Stone Minerals, L.P.",New York Stock Exchange,19.00,"22,500,000",05/01/2015,427500000,Priced
PRT,PermRock Royalty Trust,NYSE,17.00,"6,250,000",05/02/2018,106250000,Priced
BYND,"BEYOND MEAT, INC.",NASDAQ Global Select,25.00,"9,625,000",05/02/2019,240625000,Priced
SY,So-Young International Inc.,NASDAQ Global,13.80,"13,000,000",05/02/2019,179400000,Priced
TMDX,"TransMedics Group, Inc.",NASDAQ Global,16.00,"5,690,000",05/02/2019,91040000,Priced
INSP,"Inspire Medical Systems, Inc.",NYSE,16.00,"6,750,000",05/03/2018,108000000,Priced
UBX,"Unity Biotechnology, Inc.",NASDAQ Global Select,17.00,"5,000,000",05/03/2018,85000000,Priced
XSPL,"EDISON NATION, INC.",NASDAQ Capital,5.00,"1,307,120",05/03/2018,6535600,Priced
YJ,Yunji Inc.,NASDAQ Global,11.00,"11,000,000",05/03/2019,121000000,Priced
RRBI,RED RIVER BANCSHARES INC,NASDAQ Global Select,45.00,"600,000",05/03/2019,27000000,Priced
SCPL,SciPlay Corp,NASDAQ Global Select,16.00,"22,000,000",05/03/2019,352000000,Priced
ATIF,ATIF Holdings Ltd,NASDAQ Capital,5.00,"2,074,672",05/03/2019,10373360,Priced
URGN,UroGen Pharma Ltd.,NASDAQ Global,13.00,"4,473,373",05/04/2017,58153849,Priced
AMGP,Antero Midstream Corp,NYSE,23.50,"37,250,000",05/04/2017,875375000,Priced
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,NYSE,17.00,"9,900,000",05/04/2017,168300000,Priced
ROAD,"Construction Partners, Inc.",NASDAQ Global Select,12.00,"11,250,000",05/04/2018,135000000,Priced
STXB,"Spirit of Texas Bancshares, Inc.",NASDAQ Global Select,21.00,"2,000,000",05/04/2018,42000000,Priced
ASLN,ASLAN Pharmaceuticals Ltd,NASDAQ Global,7.03,"6,000,000",05/04/2018,42180000,Priced
BCML,BayCom Corp,NASDAQ Global Select,22.00,"2,851,218",05/04/2018,62726796,Priced
CBLK,"Carbon Black, Inc.",NASDAQ Global Select,19.00,"8,000,000",05/04/2018,152000000,Priced
OPGN,OPGEN INC,Nasdaq SmallCap Market,6.00,"2,850,000",05/05/2015,17100000,Priced
KREF,KKR Real Estate Finance Trust Inc.,NYSE,20.50,"10,250,000",05/05/2017,210125000,Priced
TPGEU,Magnolia Oil & Gas Corp,NYSE,10.00,"60,000,000",05/05/2017,600000000,Priced
OVID,Ovid Therapeutics Inc.,NASDAQ Global Select,15.00,"5,000,000",05/05/2017,75000000,Priced
HTGM,"HTG MOLECULAR DIAGNOSTICS, INC",Nasdaq National Market,14.00,"3,570,000",05/06/2015,49980000,Priced
ADAP,Adaptimmune Therapeutics PLC,Nasdaq National Market,17.00,"11,250,000",05/06/2015,191250000,Priced
CLCD,"CoLucid Pharmaceuticals, Inc.",Nasdaq National Market,10.00,"5,500,000",05/06/2015,55000000,Priced
SBPH,"Spring Bank Pharmaceuticals, Inc.",Nasdaq SmallCap Market,12.00,"920,000",05/06/2016,11040000,Priced
NTLA,"Intellia Therapeutics, Inc.",Nasdaq National Market,18.00,"6,000,000",05/06/2016,108000000,Priced
COLL,"COLLEGIUM PHARMACEUTICAL, INC",Nasdaq National Market,12.00,"5,800,000",05/07/2015,69600000,Priced
LIFE,aTYR PHARMA INC,Nasdaq National Market,14.00,"5,360,000",05/07/2015,75040000,Priced
TEGP,"Tallgrass Energy, LP",New York Stock Exchange,29.00,"41,500,000",05/07/2015,1203500000,Priced
TRVI,"Trevi Therapeutics, Inc.",NASDAQ Global,10.00,"5,500,000",05/07/2019,55000000,Priced
LCAHU,"Landcadia Holdings II, Inc.",NASDAQ Capital,10.00,"27,500,000",05/07/2019,275000000,Priced
BOJA,"Bojangles', Inc.",Nasdaq National Market,19.00,"7,750,000",05/08/2015,147250000,Priced
PSN,PARSONS CORP,NYSE,27.00,"18,518,500",05/08/2019,499999500,Priced
NDRAU,ENDRA Life Sciences Inc.,NASDAQ Capital,5.00,"1,680,000",05/09/2017,8400000,Priced
GNTY,GUARANTY BANCSHARES INC /TX/,NASDAQ Global Select,27.00,"2,000,000",05/09/2017,54000000,Priced
EVLO,"Evelo Biosciences, Inc.",NASDAQ Global Select,16.00,"5,312,500",05/09/2018,85000000,Priced
OBNK,"Origin Bancorp, Inc.",NASDAQ Global Select,34.00,"3,636,176",05/09/2018,123629984,Priced
SPFI,"SOUTH PLAINS FINANCIAL, INC.",NASDAQ Global Select,17.50,"3,380,000",05/09/2019,59150000,Priced
HHR,HeadHunter Group PLC,NASDAQ Global Select,13.50,"16,304,348",05/09/2019,220108698,Priced
MEC,"Mayville Engineering Company, Inc.",NYSE,17.00,"6,250,000",05/09/2019,106250000,Priced
MIST,Milestone Pharmaceuticals Inc.,NASDAQ Global Select,15.00,"5,500,000",05/09/2019,82500000,Priced
NXTC,"NextCure, Inc.",NASDAQ Global Select,15.00,"5,000,000",05/09/2019,75000000,Priced
CRTX,"Cortexyme, Inc.",NASDAQ Global Select,17.00,"4,412,000",05/09/2019,75004000,Priced
AXLA,Axcella Health Inc.,NASDAQ Global,20.00,"3,571,428",05/09/2019,71428560,Priced
FPH,"Five Point Holdings, LLC",NYSE,14.00,"21,000,000",05/10/2017,294000000,Priced
EQH,"Equitable Holdings, Inc.",NYSE,20.00,"137,250,000",05/10/2018,2745000000,Priced
JFIN,Jiayin Group Inc.,NASDAQ Global Select,10.50,"3,500,000",05/10/2019,36750000,Priced
SONM,SONIM TECHNOLOGIES INC,NASDAQ Global,11.00,"3,571,429",05/10/2019,39285719,Priced
UBER,"Uber Technologies, Inc",NYSE,45.00,"180,000,000",05/10/2019,8100000000,Priced
DEACU,DraftKings Inc.,NASDAQ Capital,10.00,"35,000,000",05/10/2019,350000000,Priced
HSACU,"Immunovant, Inc.",NASDAQ Capital,10.00,"10,000,000",05/10/2019,100000000,Priced
TPB,"Turning Point Brands, Inc.",New York Stock Exchange,10.00,"5,400,000",05/11/2016,54000000,Priced
HUYA,HUYA Inc.,NYSE,12.00,"15,000,000",05/11/2018,180000000,Priced
BVXV,BiondVax Pharmaceuticals Ltd.,Nasdaq SmallCap Market,5.00,"1,910,000",05/12/2015,9550000,Priced
EQGP,"EQGP Holdings, LP",New York Stock Exchange,27.00,"23,000,000",05/12/2015,621000000,Priced
SITE,"SiteOne Landscape Supply, Inc.",New York Stock Exchange,21.00,"10,000,000",05/12/2016,210000000,Priced
MMDMU,Modern Media Acquisition Corp.,NASDAQ Capital,10.00,"18,000,000",05/12/2017,180000000,Priced
ASV,"ASV HOLDINGS, INC.",NASDAQ Capital,7.00,"3,800,000",05/12/2017,26600000,Priced
VERI,"Veritone, Inc.",NASDAQ Capital,15.00,"2,500,000",05/12/2017,37500000,Priced
NESRU,National Energy Services Reunited Corp.,NASDAQ Capital,10.00,"21,000,000",05/12/2017,210000000,Priced
SOI,"Solaris Oilfield Infrastructure, Inc.",NYSE,12.00,"10,100,000",05/12/2017,121200000,Priced
GDI,Ingersoll Rand Inc.,NYSE,20.00,"41,300,000",05/12/2017,826000000,Priced
JAGX,"Jaguar Health, Inc.",Nasdaq SmallCap Market,7.00,"2,860,000",05/13/2015,20020000,Priced
ONSIU,"Outlook Therapeutics, Inc.",Nasdaq National Market,6.00,"5,833,334",05/13/2016,35000004,Priced
ACIA,"Acacia Communications, Inc.",Nasdaq National Market,23.00,"4,500,000",05/13/2016,103500000,Priced
GLPG,GALAPAGOS NV,Nasdaq SmallCap Market,42.05,"6,550,000",05/14/2015,275427500,Priced
FENX,"Fenix Parts, Inc.",Nasdaq National Market,8.00,"12,000,000",05/14/2015,96000000,Priced
APLT,Applied Therapeutics Inc.,NASDAQ Global,10.00,"4,000,000",05/14/2019,40000000,Priced
AGBAU,AGBA Acquisition Ltd,NASDAQ Capital,10.00,"4,000,000",05/14/2019,40000000,Priced
RKDA,"Arcadia Biosciences, Inc.",Nasdaq National Market,8.00,"8,200,000",05/15/2015,65600000,Priced
FTAI,Fortress Transportation & Infrastructure Investors LLC,New York Stock Exchange,17.00,"20,000,000",05/15/2015,340000000,Priced
TMCXU,Trinity Merger Corp.,NASDAQ Capital,10.00,"30,000,000",05/15/2018,300000000,Priced
PSTL,"Postal Realty Trust, Inc.",NYSE,17.00,"4,500,000",05/15/2019,76500000,Priced
VTIQU,Nikola Corp,NASDAQ Capital,10.00,"20,000,000",05/16/2018,200000000,Priced
GTHX,"G1 Therapeutics, Inc.",NASDAQ Global Select,15.00,"7,000,000",05/17/2017,105000000,Priced
PS,"Pluralsight, Inc.",NASDAQ Global Select,15.00,"20,700,000",05/17/2018,310500000,Priced
FSLY,"Fastly, Inc.",NYSE,16.00,"11,250,000",05/17/2019,180000000,Priced
LK,Luckin Coffee Inc.,NASDAQ Global Select,17.00,"33,000,000",05/17/2019,561000000,Priced
AVTR,"Avantor, Inc.",NYSE,14.00,"207,000,000",05/17/2019,2898000000,Priced
PLSE,"Pulse Biosciences, Inc.",Nasdaq SmallCap Market,4.00,"5,000,000",05/18/2016,20000000,Priced
PZRX,"PHASERX, INC.",Nasdaq SmallCap Market,5.00,"3,700,000",05/18/2016,18500000,Priced
ARGX,ARGENX SE,NASDAQ Global Select,17.00,"5,865,000",05/18/2017,99705000,Priced
BEDU,Bright Scholar Education Holdings Ltd,NYSE,10.50,"15,000,000",05/18/2017,157500000,Priced
CDRB,Code Rebel Corp,Nasdaq SmallCap Market,5.00,"2,000,000",05/19/2015,10000000,Priced
MRUS,Merus N.V.,Nasdaq National Market,10.00,"5,500,000",05/19/2016,55000000,Priced
RGNP,Reign Resources Corp,OTCBB,0.50,"3,923,000",05/19/2016,1961500,Priced
SUPV,Grupo Supervielle S.A.,New York Stock Exchange,11.00,"25,500,015",05/19/2016,280500165,Priced
GPIAU,"Rimini Street, Inc.",Nasdaq SmallCap Market,10.00,"15,000,000",05/20/2015,150000000,Priced
BKFS,"Black Knight, Inc.",New York Stock Exchange,24.50,"18,000,000",05/20/2015,441000000,Priced
CFCOU,FGL Holdings,Nasdaq SmallCap Market,10.00,"60,000,000",05/20/2016,600000000,Priced
BZUN,Baozun Inc.,Nasdaq National Market,10.00,"11,000,000",05/21/2015,110000000,Priced
CHCT,Community Healthcare Trust Inc,New York Stock Exchange,19.00,"6,250,000",05/21/2015,118750000,Priced
PGND,"Press Ganey Holdings, Inc.",New York Stock Exchange,25.00,"8,900,000",05/21/2015,222500000,Priced
SHOP,SHOPIFY INC.,New York Stock Exchange,17.00,"7,700,000",05/21/2015,130900000,Priced
GXGXU,GX Acquisition Corp.,NASDAQ Capital,10.00,"25,000,000",05/21/2019,250000000,Priced
EVOP,"EVO Payments, Inc.",NASDAQ Global Select,16.00,"14,000,000",05/23/2018,224000000,Priced
IDYA,"Ideaya Biosciences, Inc.",NASDAQ Global Select,10.00,"5,000,000",05/23/2019,50000000,Priced
RTLR,RATTLER MIDSTREAM LP,NASDAQ Global Select,17.50,"38,000,000",05/23/2019,665000000,Priced
BCYC,BICYCLE THERAPEUTICS plc,NASDAQ Global Select,14.00,"4,333,333",05/23/2019,60666662,Priced
MSBI,"Midland States Bancorp, Inc.",Nasdaq National Market,22.00,"3,638,755",05/24/2016,80052610,Priced
SGH,"SMART Global Holdings, Inc.",NASDAQ Global Select,11.00,"5,300,000",05/24/2017,58300000,Priced
KNSA,"Kiniksa Pharmaceuticals, Ltd.",NASDAQ Global Select,18.00,"8,477,777",05/24/2018,152599986,Priced
SRRK,Scholar Rock Holding Corp,NASDAQ Global Select,14.00,"5,360,000",05/24/2018,75040000,Priced
GSKY,"GreenSky, Inc.",NASDAQ Global Select,23.00,"38,000,000",05/24/2018,874000000,Priced
CLPS,CLPS Inc,NASDAQ Capital,5.25,"2,000,000",05/24/2018,10500000,Priced
APPN,APPIAN CORP,NASDAQ Global,12.00,"6,250,000",05/25/2017,75000000,Priced
WOW,"WideOpenWest, Inc.",NYSE,17.00,"18,235,295",05/25/2017,310000015,Priced
ITRM,Iterum Therapeutics plc,NASDAQ Global,13.00,"6,150,000",05/25/2018,79950000,Priced
LCAHU,Waitr Holdings Inc.,Nasdaq SmallCap Market,10.00,"25,000,000",05/26/2016,250000000,Priced
RETA,REATA PHARMACEUTICALS INC,Nasdaq National Market,11.00,"5,500,000",05/26/2016,60500000,Priced
COTV,"Cotiviti Holdings, Inc.",New York Stock Exchange,19.00,"12,500,000",05/26/2016,237500000,Priced
GMS,GMS Inc.,New York Stock Exchange,21.00,"7,000,000",05/26/2016,147000000,Priced
USFD,US Foods Holding Corp.,New York Stock Exchange,23.00,"44,444,444",05/26/2016,1022222212,Priced
TDACU,Trident Acquisitions Corp.,NASDAQ Global Select,10.00,"17,500,000",05/30/2018,175000000,Priced
PAACU,PROFICIENT ALPHA ACQUISITION CORP,NASDAQ Capital,10.00,"10,000,000",05/30/2019,100000000,Priced
HJLI,"Hancock Jaffe Laboratories, Inc.",NASDAQ Capital,5.00,"1,500,000",05/31/2018,7500000,Priced
AMBO,Ambow Education Holding Ltd.,NYSE MKT,4.25,"1,800,000",06/01/2018,7650000,Priced
CLSD,"Clearside Biomedical, Inc.",Nasdaq National Market,7.00,"7,200,000",06/02/2016,50400000,Priced
MBRX,"Moleculin Biotech, Inc.",Nasdaq SmallCap Market,6.00,"1,540,026",06/02/2016,9240156,Priced
NH,"NantHealth, Inc.",Nasdaq National Market,14.00,"6,500,000",06/02/2016,91000000,Priced
KBLMU,KBL MERGER CORP. IV,NASDAQ Capital,10.00,"10,000,000",06/02/2017,100000000,Priced
SRTSU,"Sensus Healthcare, Inc.",Nasdaq SmallCap Market,5.50,"2,000,000",06/03/2016,11000000,Priced
PTXP,"PennTex Midstream Partners, LP",Nasdaq National Market,20.00,"11,250,000",06/04/2015,225000000,Priced
DTEA,DAVIDsTEA Inc.,Nasdaq National Market,19.00,"5,100,000",06/05/2015,96900000,Priced
EVH,"Evolent Health, Inc.",New York Stock Exchange,17.00,"11,500,000",06/05/2015,195500000,Priced
GI,"EndoChoice Holdings, Inc.",New York Stock Exchange,15.00,"6,350,000",06/05/2015,95250000,Priced
GIX'U,"GigCapital2, Inc.",NYSE,10.00,"15,000,000",06/06/2019,150000000,Priced
GSX,GSX Techedu Inc.,NYSE,10.50,"19,800,000",06/06/2019,207900000,Priced
SSTI,"SHOTSPOTTER, INC",NASDAQ Capital,11.00,"2,800,000",06/07/2017,30800000,Priced
RVLV,"Revolve Group, Inc.",NYSE,18.00,"11,764,706",06/07/2019,211764708,Priced
HYACU,Haymaker Acquisition Corp. II,NASDAQ Capital,10.00,"35,000,000",06/07/2019,350000000,Priced
MGTX,MeiraGTx Holdings plc,NASDAQ Global Select,15.00,"5,000,000",06/08/2018,75000000,Priced
GSAHU,Vertiv Holdings Co,NYSE,10.00,"60,000,000",06/08/2018,600000000,Priced
PLYM,Plymouth Industrial REIT Inc.,NYSE MKT,19.00,"2,900,000",06/09/2017,55100000,Priced
IMRN,Immuron Ltd,NASDAQ Capital,9.99,"610,000",06/09/2017,6093900,Priced
WWRB,"Po Yuen Cultural Holdings (Hong Kong) Co., Ltd.",OTCBB,0.10,"2,500,000",06/10/2015,250000,Priced
COE,China Online Education Group,New York Stock Exchange,19.00,"2,400,000",06/10/2016,45600000,Priced
ATKR,Atkore International Group Inc.,New York Stock Exchange,16.00,"12,000,000",06/10/2016,192000000,Priced
PUB,People's Utah Bancorp,Nasdaq SmallCap Market,14.50,"2,500,000",06/11/2015,36250000,Priced
ELECU,Electrum Special Acquisition Corp,Nasdaq SmallCap Market,10.00,"17,500,000",06/11/2015,175000000,Priced
BITI,Biotie Therapies Corp.,Nasdaq National Market,14.89,"3,761,418",06/11/2015,56007514,Priced
AXON,Axovant Gene Therapies Ltd.,New York Stock Exchange,15.00,"21,000,000",06/11/2015,315000000,Priced
WING,Wingstop Inc.,Nasdaq National Market,19.00,"5,800,000",06/12/2015,110200000,Priced
FPACU,Far Point Acquisition Corp,NYSE,10.00,"55,000,000",06/12/2018,550000000,Priced
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ Global Select,34.00,"18,000,000",06/12/2019,612000000,Priced
MWK,"Mohawk Group Holdings, Inc.",NASDAQ Capital,10.00,"3,600,000",06/12/2019,36000000,Priced
FVRR,Fiverr International Ltd.,NYSE,21.00,"5,263,158",06/13/2019,110526318,Priced
VIVE,"VIVEVE MEDICAL, INC.",Nasdaq SmallCap Market,5.00,"2,700,000",06/14/2016,13500000,Priced
ATNX,"Athenex, Inc.",NASDAQ Global Select,11.00,"6,000,000",06/14/2017,66000000,Priced
CHRA,"Charah Solutions, Inc.",NYSE,12.00,"7,352,941",06/14/2018,88235292,Priced
USX,US XPRESS ENTERPRISES INC,NYSE,16.00,"18,056,000",06/14/2018,288896000,Priced
CHWY,"Chewy, Inc.",NYSE,22.00,"46,500,000",06/14/2019,1023000000,Priced
IVTY,"Invuity, Inc.",Nasdaq National Market,12.00,"4,000,000",06/15/2015,48000000,Priced
ADOM,"ADOMANI, INC.",NASDAQ Capital,5.00,"2,852,275",06/15/2017,14261375,Priced
VRCA,Verrica Pharmaceuticals Inc.,NASDAQ Global,15.00,"5,000,000",06/15/2018,75000000,Priced
NEW,Puxin Ltd,NYSE,17.00,"7,200,000",06/15/2018,122400000,Priced
AVLR,"AVALARA, INC.",NYSE,24.00,"7,500,000",06/15/2018,180000000,Priced
PBNC,Paragon Commercial CORP,Nasdaq SmallCap Market,34.00,"736,000",06/16/2016,25024000,Priced
BOMN,BOSTON OMAHA Corp,NASDAQ Capital,13.00,"6,538,462",06/16/2017,85000006,Priced
NVLS,"ALPINE IMMUNE SCIENCES, INC.",Nasdaq National Market,14.00,"5,500,000",06/17/2015,77000000,Priced
FIT,"FITBIT, INC.",New York Stock Exchange,20.00,"36,575,000",06/18/2015,731500000,Priced
UNVR,Univar Solutions Inc.,New York Stock Exchange,22.00,"35,000,000",06/18/2015,770000000,Priced
MB,"MINDBODY, Inc.",Nasdaq National Market,14.00,"7,150,000",06/19/2015,100100000,Priced
CYAD,Celyad Oncology SA,Nasdaq National Market,68.56,"1,460,000",06/19/2015,100097600,Priced
CAFD,8point3 Energy Partners LP,Nasdaq National Market,21.00,"20,000,000",06/19/2015,420000000,Priced
FOGO,"Fogo de Chao, Inc.",Nasdaq National Market,20.00,"4,411,764",06/19/2015,88235280,Priced
TBRGU,Repay Holdings Corp,NASDAQ Global Select,10.00,"22,500,000",06/19/2018,225000000,Priced
STOK,"Stoke Therapeutics, Inc.",NASDAQ Global Select,18.00,"7,891,110",06/19/2019,142039980,Priced
BCACU,"XYNOMIC PHARMACEUTICALS HOLDINGS, INC.",NASDAQ Capital,10.00,"5,250,000",06/20/2017,52500000,Priced
CNACU,"DermTech, Inc.",NASDAQ Capital,10.00,"12,500,000",06/20/2017,125000000,Priced
EIDX,"Eidos Therapeutics, Inc.",NASDAQ Global Select,17.00,"6,250,000",06/20/2018,106250000,Priced
TWLVU,BPGIC INTERNATIONAL,NASDAQ Capital,10.00,"18,000,000",06/20/2018,180000000,Priced
LFACU,LF Capital Acquisition Corp.,NASDAQ Capital,10.00,"13,500,000",06/20/2018,135000000,Priced
GO,Grocery Outlet Holding Corp.,NASDAQ Global Select,22.00,"17,187,500",06/20/2019,378125000,Priced
BCEL,"Atreca, Inc.",NASDAQ Global Select,17.00,"7,350,000",06/20/2019,124950000,Priced
AKRO,"Akero Therapeutics, Inc.",NASDAQ Global Select,16.00,"5,750,000",06/20/2019,92000000,Priced
PRVL,Prevail Therapeutics Inc.,NASDAQ Global,17.00,"7,353,000",06/20/2019,125001000,Priced
PSNL,"Personalis, Inc.",NASDAQ Global,17.00,"7,921,500",06/20/2019,134665500,Priced
WORK,"Slack Technologies, Inc.",NYSE,38.50,"118,429,640",06/20/2019,4559541140,Priced
SMMCU,South Mountain Merger Corp.,NASDAQ Capital,10.00,"22,500,000",06/20/2019,225000000,Priced
APTX,Aptinyx Inc.,NASDAQ Global Select,16.00,"6,399,999",06/21/2018,102399984,Priced
IIIV,"i3 Verticals, Inc.",NASDAQ Global Select,13.00,"6,650,000",06/21/2018,86450000,Priced
KZR,"Kezar Life Sciences, Inc.",NASDAQ Global Select,15.00,"5,000,000",06/21/2018,75000000,Priced
EPRT,"ESSENTIAL PROPERTIES REALTY TRUST, INC.",NYSE,14.00,"32,500,000",06/21/2018,455000000,Priced
MGTA,"Magenta Therapeutics, Inc.",NASDAQ Global,15.00,"6,666,667",06/21/2018,100000005,Priced
AVRO,"AvroBio, Inc.",NASDAQ Global Select,19.00,"5,247,958",06/21/2018,99711202,Priced
XERS,XERIS PHARMACEUTICALS INC,NASDAQ Global Select,15.00,"5,700,000",06/21/2018,85500000,Priced
SELB,SELECTA BIOSCIENCES INC,Nasdaq National Market,14.00,"5,000,000",06/22/2016,70000000,Priced
SGBX,"SG BLOCKS, INC.",NASDAQ Capital,5.00,"1,500,000",06/22/2017,7500000,Priced
SAFE,Safehold Inc.,NYSE,20.00,"10,250,000",06/22/2017,205000000,Priced
ATUS,"Altice USA, Inc.",NYSE,30.00,"63,943,029",06/22/2017,1918290870,Priced
ECOR,"electroCore, Inc.",NASDAQ Global,15.00,"5,200,000",06/22/2018,78000000,Priced
AUTL,Autolus Therapeutics plc,NASDAQ Global Select,17.00,"8,823,530",06/22/2018,150000010,Priced
TWLO,TWILIO INC,New York Stock Exchange,15.00,"10,000,000",06/23/2016,150000000,Priced
HCACU,NRC GROUP HOLDINGS CORP.,NYSE MKT,10.00,"22,500,000",06/23/2017,225000000,Priced
GPMT,Granite Point Mortgage Trust Inc.,NYSE,19.50,"10,000,000",06/23/2017,195000000,Priced
RTTR,"Qualigen Therapeutics, Inc.",Nasdaq SmallCap Market,5.00,"4,000,000",06/24/2015,20000000,Priced
LNTH,"Lantheus Holdings, Inc.",Nasdaq National Market,6.00,"10,833,334",06/25/2015,65000004,Priced
CATB,CATABASIS PHARMACEUTICALS INC,Nasdaq National Market,12.00,"5,000,000",06/25/2015,60000000,Priced
TRU,TransUnion,New York Stock Exchange,22.50,"29,545,455",06/25/2015,664772738,Priced
MCRN,Milacron Holdings Corp.,New York Stock Exchange,20.00,"14,285,714",06/25/2015,285714280,Priced
GKOS,GLAUKOS Corp,New York Stock Exchange,18.00,"6,000,000",06/25/2015,108000000,Priced
GNRT,Euronav MI II Inc.,New York Stock Exchange,14.00,"15,000,000",06/25/2015,210000000,Priced
ALRM,"Alarm.com Holdings, Inc.",Nasdaq National Market,14.00,"7,000,000",06/26/2015,98000000,Priced
APPF,APPFOLIO INC,Nasdaq National Market,12.00,"6,200,000",06/26/2015,74400000,Priced
GPP,Green Plains Partners LP,Nasdaq National Market,15.00,"10,000,000",06/26/2015,150000000,Priced
MCRB,"Seres Therapeutics, Inc.",Nasdaq National Market,18.00,"7,430,555",06/26/2015,133749990,Priced
YECO,Yulong Eco-Materials Ltd,Nasdaq SmallCap Market,6.25,"2,250,000",06/26/2015,14062500,Priced
XTLY,Xactly Corp,New York Stock Exchange,8.00,"7,037,500",06/26/2015,56300000,Priced
GLDM,World Gold Trust,NYSE Arca,12.98,"80,000,000",06/26/2018,1038400000,Priced
CMBM,Cambium Networks Corp,NASDAQ Global,12.00,"5,800,000",06/26/2019,69600000,Priced
LINX,Linx S.A.,NYSE,9.40,"32,774,601",06/26/2019,308081249,Priced
ESQ,"Esquire Financial Holdings, Inc.",NASDAQ Capital,14.00,"2,363,873",06/27/2017,33094222,Priced
ATXI,"AVENUE THERAPEUTICS, INC.",NASDAQ Capital,6.00,"5,500,000",06/27/2017,33000000,Priced
UXIN,Uxin Ltd,NASDAQ Global Select,9.00,"25,000,000",06/27/2018,225000000,Priced
NTGN,"Neon Therapeutics, Inc.",NASDAQ Global Select,16.00,"6,250,000",06/27/2018,100000000,Priced
LOVE,Lovesac Co,NASDAQ Global,16.00,"3,500,000",06/27/2018,56000000,Priced
HYRE,HyreCar Inc.,NASDAQ Capital,5.00,"2,520,000",06/27/2018,12600000,Priced
MORF,"Morphic Holding, Inc.",NASDAQ Global,15.00,"6,000,000",06/27/2019,90000000,Priced
ADPT,Adaptive Biotechnologies Corp,NASDAQ Global Select,20.00,"15,000,000",06/27/2019,300000000,Priced
BBIO,"BridgeBio Pharma, Inc.",NASDAQ Global Select,17.00,"20,500,000",06/27/2019,348500000,Priced
CCX'U,Churchill Capital Corp II,NYSE,10.00,"60,000,000",06/27/2019,600000000,Priced
CHNG,Change Healthcare Inc.,NASDAQ Global Select,13.00,"42,857,142",06/27/2019,557142846,Priced
MRSN,"Mersana Therapeutics, Inc.",NASDAQ Global Select,15.00,"5,000,000",06/28/2017,75000000,Priced
TPGHU,"Accel Entertainment, Inc.",NYSE,10.00,"40,000,000",06/28/2017,400000000,Priced
BJ,"BJ's Wholesale Club Holdings, Inc.",NYSE,17.00,"37,500,000",06/28/2018,637500000,Priced
BV,"BrightView Holdings, Inc.",NYSE,22.00,"21,300,000",06/28/2018,468600000,Priced
EVER,"EverQuote, Inc.",NASDAQ Global,18.00,"4,687,500",06/28/2018,84375000,Priced
FTSV,"Forty Seven, Inc.",NASDAQ Global,16.00,"7,035,000",06/28/2018,112560000,Priced
NFC'U,New Frontier Health Corp,NYSE,10.00,"25,000,000",06/28/2018,250000000,Priced
STIM,"Neuronetics, Inc.",NASDAQ Global,17.00,"5,500,000",06/28/2018,93500000,Priced
TBIO,"Translate Bio, Inc.",NASDAQ Global Select,13.00,"9,350,000",06/28/2018,121550000,Priced
TCDA,"Tricida, Inc.",NASDAQ Global Select,19.00,"11,700,000",06/28/2018,222300000,Priced
ENTX,Entera Bio Ltd.,NASDAQ Capital,8.00,"1,400,000",06/28/2018,11200000,Priced
HCCHU,HL Acquisitions Corp.,NASDAQ Capital,10.00,"5,000,000",06/28/2018,50000000,Priced
KRTX,"Karuna Therapeutics, Inc.",NASDAQ Global,16.00,"5,578,124",06/28/2019,89249984,Priced
REAL,"TheRealReal, Inc.",NASDAQ Global Select,20.00,"15,000,000",06/28/2019,300000000,Priced
GMRE,Global Medical REIT Inc.,New York Stock Exchange,10.00,"13,043,479",06/29/2016,130434790,Priced
ALRN,AILERON THERAPEUTICS INC,NASDAQ Global,15.00,"3,750,000",06/29/2017,56250000,Priced
APRN,"Blue Apron Holdings, Inc.",NYSE,10.00,"30,000,000",06/29/2017,300000000,Priced
DOVA,Dova Pharmaceuticals Inc.,NASDAQ Global,17.00,"4,415,000",06/29/2017,75055000,Priced
DOMO,"DOMO, INC.",NASDAQ Global,21.00,"9,200,000",06/29/2018,193200000,Priced
SYRS,"Syros Pharmaceuticals, Inc.",Nasdaq National Market,12.50,"4,000,000",06/30/2016,50000000,Priced
